"agency_name","address","city","email","phone_number","website"
"Iris Vogel Moderation und Management Sophie 19","Mittelstr. 9/1, (Süd)","Stuttgart","","0711 62 00 96 30","http://www.sophie19.de"
"Jörg Langhof invent-personalberatung","Finkenweg 1, (Admannshagen)","Admannshagen-Bargeshagen","","038203 8 06 04","http://invent-personal.de"
"Jörg Mauer Bauprojektmanagement","Oranienplatz 5, (Kreuzberg)","Berlin","","030 2 33 29 61 90","http://www.mauer-bauprojektmanagement.de"
"Justus Drees und Elisabeth Jansen Personalgewinnung STF Recruiting GbR","Erkrather Str. 401, (Lierenfeld)","Düsseldorf","","0211 97 53 73 32","http://www.drees-steuerpersonal.de"
"Katja Windheim Personalvermittlung Medical Jobs 24","Saarlandstr. 8, (Knielingen)","Karlsruhe","","0721 61 93 75 10","http://www.medical-jobs24.net"
"Kevin Heisig Arbeitnehmervermittlung Royal Recruitment","Eurotec-Ring 15, (Repelen)","Moers","","0176 72 73 52 14","http://www.royal-recruitment.de"
"Know How Personalvermittlung e. K.","Am Erlenbach 55","Neu-Isenburg","","06102 75 19 00","http://know-how-personalvermittlung.de"
"KÖNIG Fachpersonal GmbH & Co KG","Fetscherplatz 2 A, (Johannstadt-Süd)","Dresden","","0351 4 47 78",""
"Kossai Al-Saokal Arbeitsvermittler","Wassertorstr. 11, (Kreuzberg)","Berlin","","0176 2 32 56 41 41",""
"Lohnfüchse UG (haftungsbeschränkt)","Gebrüder-Grimm-Weg 28","Hemmingen","","05101 9 91 40 82","http://lohnfuechse.de"
"M.C.F. GmbH","Gleiwitzer Str. 15, (Haidenhof-Nord)","Passau","","0157 39 74 27 20","http://mcf-group.de"
"MACRO Consulting GmbH","Gartenstr. 1","Geislingen an der Steige","","07331 30 18 50","http://macro-gmbh.de"
"Marion Wagner Dienstleistungen","Graf-von-Soden-Str. 9BG","Immenstaad am Bodensee","","07541 37 12 16","http://www.asl-bodensee.de"
"Mariusz Lankowski Vermittlung von Arbeitskräften","Rankestr. 45, (Gleißhammer)","Nürnberg","","0175 1 56 13 35","http://pflege24stunden.com"
"Markus Kiupel - MK-Bartending Personal-Leasing & Eventmanagement","Domgasse 2","Fürstenwalde/Spree","","0162 2 47 01 97","http://mk-bartending.de"
"Martina Lichtenstein Personalvermittlung CTB Lichtenstein","Gartenstr. 10, (Innenstadt)","Neumünster","","04321 4 99 20 72","http://ctb-lichtenstein.de"
"MEDIAN Flex GmbH","Franklinstr. 28-29, (Charlottenburg)","Berlin","","030 5 30 05 50","http://www.median-kliniken.de"
"Miriam Haberer","Strausberger Straße 15","Altlandsberg","","033438 16 89 88","https://www.miriam-haberer.de"
"Mohammed Behairy meineagentur24","Witznitzer Werkstr. 16e","Borna","","03433 9 17 99 90","http://www.jobmakler-europa.de"
"Monika Thaller-Nowak Arbeitsvermittlung","Limbach 15, (Limbach)","Pommersfelden","","09548 60 35","http://thaller-nowak.de"
"naniungo Deutschland GmbH","Kaistr. 5, (Hafen)","Düsseldorf","","0211 78 17 28 80","http://naniungo.com"
"NeoHeads GmbH & Co. KG Personalberatung","Magirus-Deutz-Str. 12, (Söflingen)","Ulm","","0731 14 61 75-0",""
"Next 2M GmbH","Südliche Ringstr. 66","Ingolstadt","","0800 0 06 01 46",""
"Norbert Tasch Arbeitsvermittlung Berlin","Potsdamer Platz 10, (Tiergarten)","Berlin","","030 60 97 78 80","http://arbeitsvermittlung-berlin.de"
"Otger Holleschek M. Schlick u. Jörg Hautmann ServicePool GbR","Martin-Luther-Str. 2, (Obergiesing)","München","","089 8 90 68 60","http://www.servicepool-muc.de"
