"agency_name","address","city","email","phone_number","website"
"A P M S GmbH","Hoyerswerdaer Str. 18, (Innere Neustadt)","Dresden","","0180 1 56 34 43",""
"ABOCO Personalservice GmbH","Hauptstr. 4B","Lohmar","","02246 9 48 44-0",""
"ABS GmbH Arbeitsförderung Beschäftigung und Strukturentwicklung","Schlesierstr. 55, (Stötteritz)","Leipzig","","0341 8 60 46 60",""
"ABZ GmbH Kramp Wolfgang Arbeitsvermittlung","Oberstr. 104","Heinsberg","","02452 6 87 99 03",""
"acrobat GmbH Personaldienstleistungen Personaldienstleistungen","Karl-Friedrich-Str. 40","Emmendingen","","07641 9 58 52-0",""
"ACUT Personalservice GmbH & Co. KG","Bahnhofstr. 34","Bünde","","05223 4 91 00-0",""
"Aetas Personaldienstleistungen GmbH","Dietrich-Bonhoeffer-Str. 7","Löbau","","03585 8 78 98 71",""
"AF Fercak GmbH","Obere Schmiedegasse 1, (Annaberg)","Annaberg-Buchholz","","03733 4 28 79 50","https://af-fercak-gmbh.business.site/"
"AFB - Arbeitsförderungsbetriebe gGmbH","Daimlerstr. 8","Karlsruhe","","0721 9 72 46-0","http://www.arbeiten-leben.de"
"AGENTUR-NETWORK GmbH - Ihr Personaldienstleister","Bautzener Str. 36, (Kleinsaubernitz)","Malschwitz","","",""
"Akzent Personaldienstleistung Mitte GmbH","Meller Str. 72, (Schölerberg)","Osnabrück","","0541 96 27 94 10","https://www.akzent-personal.de/jobs-in-osnabrueck"
"Akzent Personaldienstleistung Mitte GmbH","Nordmannpassage 6, (Mitte)","Hannover","","0511 65 53 34 22",""
"Albeco Personalmanagement GmbH","August-Bebel-Str. 56, (Südvorstadt)","Leipzig","","0341 3 03 29 78-0",""
"ALBS Personalmanagement","Salzdahlumer Str. 41","Wolfenbüttel","","05331 88 62 80","https://www.albs-personal.de"
"Alpha-Med GmbH Medizinisches","Robert-Blum-Str. 8, (Innere Neustadt)","Dresden","","0351 26 62 86-0",""
"Altmark-WorkStation Private Arbeitsvermittlung","Bahnhofstr. 6","Hansestadt Salzwedel","","03901 2 89 83 88",""
"AMBAU Personalservice GmbH Geschäftsstelle Cuxhaven Agentur für Personaldienstleistungen","Präsident-Herwig-Str. 44","Cuxhaven","","04721 2 07 99 88",""
"AMV Personaldienstleistung","Hauptstr. 5, (Lichtental)","Baden-Baden","","07221 8 04 62 20",""
"ANDERS Personal Service GmbH","Friedrich-Verleger-Str. 5, (Innenstadt)","Bielefeld","","0521 5 60 51-11",""
"ANTHROPOS Personalberatung GmbH","Hauptstraße 127, (Feudenheim)","Mannheim","","0621 41 07 39 00",""
"Arbeitsvermittlung Konik 24","Waldseestraße 2A, (Rheinau)","Mannheim","","0621 86 19 02 41","https://www.arbeitsvermittlung-konik.de/"
"Arbeitsvermittlung VTM Vermittlungsteam GmbH","","Neustadt am Rübenberge","","05032 59 98 36",""
"ARTEC Unternehmensberatung GmbH","Blumenallee 1, (Junkersdorf)","Köln","","0221 16 88 17-0","http://www.artec-web.de"
"AuPair WorkService","","Rastatt","","07222 5 01 72 12",""
"AV Plus Ltd. & Co. KG","Lindenauer Markt 14, (Altlindenau)","Leipzig","","0176 29 03 90 70",""
"AV Plus Ltd. & Co. KG - Müller Andre","Lindenauer Markt 14","Leipzig","","0176 29 03 90 70",""
"AVA","Georg-Schumann-Str. 175, (Möckern)","Leipzig","","0341 9 01 37 84",""
"AVA Leipzig Private Arbeitsvermittlung Astrid Götze","Georg-Schumann-Str. 175","Leipzig","","0341 9 01 37 84",""
"Avveba Private Arbeitsvermittlung","Mittagstr. 1A, (Neue Neustadt)","Magdeburg","","0391 2 51 79 62","http://avveba.de"
"AZA Allgemeine Zeitarbeit GmbH","Hohenthalplatz 2, (Friedrichstadt)","Dresden","","0351 8 67 46-0",""
"backbone management GmbH","Fürstenaustr. 12, (Innenstadt)","Herford","","05221 1 38 59-2",""
"BADER KARA Gruppe","Dresdener Str. 57","Oschatz","","03435 9 86 57 98",""
"Bächle Personal Service GmbH","Industriestr. 46","Bruchsal","","0800 0 22 24 53",""
"Bäumer Personalberatung GmbH","Friedrich-Ebert-Str. 110, (Geist)","Münster","","0800 7 99 74 20",""
"Becker Sylvia","","Oschersleben (Bode)","","",""
"Becker Sylvia","Käthe-Kollwitz-Str. 11, (Emmeringen)","Oschersleben (Bode)","","03949 51 39 86",""
"Bela 24 Goussias, Vasilius","Jeverstr. 15A","Esens","","04971 9 27 97 45",""
"Best For Dogs - und Feines für die Katze","Rabbethgestr. 7, (Rethen)","Laatzen","","05102 67 54 00",""
"bim Personaldienstleistungen GmbH Personaldienstleistungen","Osnabrücker Str. 73","Rheine","","05971 8 99 62-0",""
"Bindan Zwickau GmbH & Co. KG","Leipziger Straße 58, (Innenstadt)","Zwickau","","0375 2 77 18-0",""
"Brandes-Herlemann GmbH Personaldienstleistung","Carl-Bertelsmann-Str. 69, (Innenstadt)","Gütersloh","","05241 2 10 25 12",""
"BS Personalmanagement Bülent Ayaz","Bruchtorwall 13, (Innenstadt)","Braunschweig","","0531 87 89 92 89",""
"Burgart Jakob Arbeitsvermittlung","Schafstallweg 17","Buchen","","06281 56 32 37",""
"C. Labes GmbH","Neuwangerooger Str. 39","Varel","","0174 1 65 66 83",""
"Cafuta Personalmanagement GmbH","Obergasse 9A","Buchen (Odenwald)","","06281 5 64 81-0",""
"CEMOS UG & Co.KG","Wilhelmstr. 11, (Spexard)","Gütersloh","","05241 9 05 10 00",""
"Cerebo Veit C.","Starenweg 9","Hildesheim","","0176 10 31 08 28",""
"Certis Personalservice GmbH Personaldienstleistung","Ludwigstr. 49, (Mitte)","Ludwigshafen am Rhein","","0621 49 07 71-10",""
"chayns WRK GmbH","Parallelstr. 41","Ahaus","","02561 91 31 20","http://www.wrkrs.de"
"CiP city personalbuero gmbh","Ostbahnstr. 11","Landau in der Pfalz","","06341 9 87 80",""
"CK Personaldienstleistungen Inh. Claus Kwiotek","Kaiserstr. 10A","Lingen","","0591 96 63 91 33",""
"Comeback GmbH / proArbeit","Use Akschen 4, (Industriehäfen)","Bremen","","0421 6 91 93 17",""
"Concept Plus GmbH","Daimlerstr. 2, (Nödike)","Meppen","","05931 99 86 14-0",""
"Consisto Personalservice GmbH","Gutenbergstr. 2","Ettenheim","","07821 9 22 25 10","https://www.consisto-personal.de"
"Dahler Kirsten Apothekerin","Lilienweg 5","Cölbe","","06427 93 12 00",""
"Danka GmbH","Pestalozzistr. 26","Versmold","","05423 4 72 79 09",""
"Dehn Silke","","Nienburg (Weser)","","05021 89 71 60",""
"DELFICO","Moltkestr. 59","Halle (Westf.)","","05201 8 56 34 71",""
"delta aktiv GmbH","Brühl 8, (Zentrum)","Leipzig","","0341 23 10 07 10",""
"Die Fachkraft GmbH","Use Akschen 71, (Industriehäfen)","Bremen","","0421 39 09 22 55",""
"Die Job Manager GmbH","Nonnenstr. 37, (Plagwitz)","Leipzig","","0341 4 92 91 54",""
"diehm personal partner gmbh","Bamberger Str. 7, (Südvorstadt-West)","Dresden","","0351 4 32 38-60",""
"DIS Deutscher Industrie Service AG Gesch.Ber. Office Management","O 7 3, (Quadrate)","Mannheim","","0621 17 83-10",""
"Döhle & Hasselmann Personaldienstleistung UG (haftungsbeschränkt)","","","","0176 10 23 99 91",""
"Drüner Sascha Personaldienstleistungen","","Horn-Bad Meinberg","","05234 20 22 58",""
"DZ-Dienstleistungszentrum GmbH","Karl-Fürstenberg-Str. 6","Rheinfelden (Baden)","","07623 9 66 12 02","https://www.dz-dienste.de"
"Easy-Dienstleistungen GmbH Personaldienstleistung","Scheidhorststr. 7, (Industriehafen)","Mannheim","","0621 12 18 40 40",""
"Efe GmbH","Wilhelm-Leuschner-Str. 63, (Lebenstedt)","Salzgitter","","05341 9 04 57 57",""
"Eikermann","In der Wölpke 19","Bad Oeynhausen","","05731 30 26 77",""
"EMK Personal & Service GmbH","Binzener Str. 9","Lörrach","","07621 16 96 06","http://www.timepartner.com"
"Endlichmitarbeiter Inh. Andreas Karsten","Am Zollbrett 12, (Hallendorf)","Salzgitter","","05341 3 05 27 93",""
"Engelhardt Annette Personaldienstleistung Zeitarbeit","Wölfnitzer Ring 68, (Gorbitz-Süd)","Dresden","","0351 42 66 04 00",""
"Eßmann Personalberatung Personalberatung","Leipziger Str. 220, (Stöckheim)","Braunschweig","","0531 8 78 82 50",""
"eVitra Personaldienstleistung UG","Im Mediapark 8, (Dellbrück)","Köln","","0221 55 40 53 65",""
"Executives Online Ahaus","Fockenstegge 10A, (Wüllen)","Ahaus","","02561 9 79 50 44",""
"expertum GmbH blue","Neutorstr. 19, (Stadtzentrum)","Emden Stadt","","04921 8 20 58 50",""
"fair managed people","Dresdenstr. 103, (Heidberg)","Braunschweig","","0531 29 59 30 14","http://www.fair-managed-people.de"
"Fechtler GbR","Walter-Oertel-Str. 31, (Kaßberg)","Chemnitz","","0176 30 34 14 98",""
"FOURTEENONE Management GmbH","Moritzstr. 10, (Zentrum)","Chemnitz","","0371 6 95 74 10",""
"Franz & Wach Personalservice","Waldstr. 9","Walldürn","","06282 9 28 77 90",""
"Froböse Helmut Dipl.-Betriebswirt","Karl-Kröner-Str. 6","Radebeul","","0351 8 30 17 95","http://web.froboese-personalmanagement.de"
"fs conserv","Konrad-Zuse-Platz 1, (Riem)","München","","089 94 38 09 10","https://www.fs-conserv.de"
"GECO GmbH","Yorckstr. 2, (Mitte)","Ludwigshafen am Rhein","","0621 67 17 64 00",""
"Geidel Heidemarie Private Arbeitsvermittlung","Lessingstr. 15","Glauchau","","03763 77 76 77",""
"GEPM -General European Personal Management GmbH Arbeitnehmerüberlassung","Fröbelstr. 57, (Friedrichstadt)","Dresden","","0351 2 05 88 75",""
"GEPM -General European Personal Management GmbH Arbeitnehmerüberlassung","Fröbelstr. 57, (Friedrichstadt)","Dresden","","",""
"GESA mbH","Markwerbener Str. 24","Weißenfels","","03443 3 33 34-0",""
"gfz services GmbH Personaldienstleistung","Dessauer Str. 280","Lutherstadt Wittenberg","","03491 7 69 10 56",""
"GLOBAL Personalleasing GmbH","Heinrich-Heine-Str. 29","Hoyerswerda","","0171 8 23 75 33",""
"H & C Personal Personalmanagementservice","","Köln","","0221 45 33 35 50","http://www.hcpersonal.de"
"Haase Knut Immobilienmanagement","Oberdorf 22B","Belgershain","","034347 5 18 03","http://www.sv-haase.de"
"Hans Leutenegger GmbH Personaldienstleister","Schwarzwaldstr. 3","Bad Krozingen","","07633 9 39 36 60",""
"Hanseteam Partner für Personal GmbH","","","","0421 3 31 15 00-0",""
"HAPEKO Personalberatung Bielefeld","Stapenhorststr. 1, (Innenstadt)","Bielefeld","","0521 5 83 28 70",""
"HAPEKO Personalberatung Braunschweig","Glogaustr. 2, (Melverode)","Braunschweig","","0531 2 96 98 60",""
"happyaupair","Valentinianstr. 10","Ladenburg","","06203 79 69 30",""
"Heidig Jörg Personalagentur","Garnisonsplatz 4","Kamenz","","03578 3 61-3 00",""
"Hey Hubert Personalservice","Otto-Schmerbach-Str. 19, (Siegmar)","Chemnitz","","0371 45 00 59-0","http://www.personalservice-hey.de"
"HLP Personaldienstleistungen","Märkische Str. 1","Engelskirchen","","02263 9 52 66 07",""
"Hölzel Carola Vertriebsförderung u. Networkmarketing","Thüringer Str. 4, (Ebersbach)","Ebersbach-Neugersdorf","","0170 5 82 81 71",""
"Hofmann I. K. GmbH Personalleasing","Wilthener Str. 26-34A","Bautzen","","",""
"Holte-Spangen Feuerwehrhaus","","Cuxhaven","","04721 2 88 06",""
"Holtmann-Frie","Bachstr. 26","Lotte","","05404 95 84 50",""
"Hoppe M. Personaldienstleistungen Heizung Sanitär Klimaservice","Eichberg 17","Wildenfels","","037603 55 98 89",""
"Horizont Private Arbeitsvermittlung","Könneritzstr. 19, (Wilsdruffer Vorstadt/Seevorstadt-West)","Dresden","","0351 20 92 06 00",""
"HSI Personaldienste hart & schenk gmbh Leipzig","Naumburgerstr. 28, (Plagwitz)","Leipzig","","0711 2 22 97 50",""
"Iduja Personaldienste GmbH","Ludwigstr. 54B, (Mitte)","Ludwigshafen am Rhein","","0621 6 85 61 90-0",""
"IIC Team Personaldienste GmbH Geschäftsstelle Hoyerswerda Zeitarbeit","Straße E 1","Hoyerswerda","","03571 4 05 14-0",""
"InterSearch Personalberatung GmbH","Spitzenkiel 14, (Altstadt)","Bremen","","0421 1 62 79-9",""
"intertemp PERSONALDIENSTLEISTUNGEN OST GMBH Personaldienstleistungen","Königsbrücker Str. 76, (Äußere Neustadt)","Dresden","","0351 8 11 81-60",""
"iperdi HL GmbH","Hauptstr. 14","Buxtehude","","04161 5 95 16 00",""
"IRW GmbH Wernigrode","Am Köhlerteich 1","Wernigerode","","03943 60 20 56",""
"JAW Arbeitsvermittlung u. Büroservice","Schulpromenade 15, (Wanzleben)","Wanzleben-Börde","","039209 90 98 73",""
"Job Concepts","Harsefelder Str. 16","Stade","","04141 40 52 37",""
"Job Konzept Personal & Dienstleistung UG (haftungsbeschränkt)","Parkstr. 10, (Bahnhofsvorstadt)","Zwickau","","0375 21 48 90 50",""
"Job Store","Bahnhofstr. 5, (Zentrum)","Chemnitz","","03921 91 77 99",""
"Jobbörse Höhenberg Veedel e.V.","Olpener Str. 136","Köln","","0221 8 70 24 31",""
"Jobcenter Arge Magdeburg GmbH","Otto-von-Guericke-Str. 12a, (Altstadt)","Magdeburg","","0391 5 62 17 77","http://www.jobcenter-magdeburg.de"
"Jobcenter Bremer Str. 19","Molkereistr. 30","Zeven","","04281 9 83-67 49",""
"Jobcenter Chemnitz","Heinrich-Lorenz-Str. 35, (Altchemnitz)","Chemnitz","","0371 5 67 34 80","https://www.jobcenter-ge.de/lang_de/nn_492004/Argen/ArgeChemnitz/DE/Service/Impressum/Impressum-Knoten."
"Jobcenter des Landratsamtes Enzkreis","Ziegeleistr. 12","Mühlacker","","07041 89 74-24 14",""
"Jobcenter Kreis Heinsberg Nebenstelle Hückelhoven","Ludovicistr. 1","Hückelhoven","","02433 4 45 70-0",""
"Jobcenter Lippe","Werner-Bock-Str. 8, (Innenstadt)","Bielefeld","","05231 4 59 90",""
"jobcenter rhein-sieg","Rathausallee 10, (Mülldorf)","Sankt Augustin","","02241 3 97 80","http://www.arge-rhein-sieg.de"
"Jobgeister","Postfach 200304","Zwickau","","0375 2 10 93 40","https://jobgeister.de/"
"JobImpulse Nord GmbH Personaldienstleister","Martinistr. 60, (Altstadt)","Bremen","","0421 57 82 86 94",""
"jobs4people, Agentur für Personalberatung","Simsonstr. 11, (Zentrum-Süd)","Leipzig","","0341 9 10 74 88","http://www.jobs4people.de"
"Jobteam - NRW Arbeitsvermittlung","Lindenthalgürtel 73, (Lindenthal)","Köln","","0221 33 77 99 77",""
"jobvalley Münster","Friedrich-Ebert-Str. 135-137, (Geist)","Münster","","0251 59 06 52 30",""
"Jobwerk Beratungsstelle für ausblidungs- und arbeitsplatzsuchende junge Menschen","Porschestr. 2","Wolfsburg","","05361 30 89 99-0",""
"Karrieremacher24","Georg-Schumann-Str. 134, (Gohlis-Süd)","Leipzig","","0341 60 07 69 97","https://karrieremacher24.de"
"KKB, Integrationsjobs","Am Justizzentrum 3-5, (Sülz)","Köln","","0221 33 77 90-0",""
"KKB, JobPerspektive","Xantener Str. 99H, (Nippes)","Köln","","0221 99 22 25-0",""
"König GmbH & Co.KG Personaldienstleistung","Erich-Maria-Remarque-Ring 22, (Innenstadt)","Osnabrück","","0541 9 70 52 10",""
"Koeppe Rolf Private Arbeitsvermittlung","Schleinufer 18a","Magdeburg","","0391 6 20 86 50","http://www.job-md.de"
"Kötter Personal Service SE & Co. KG","Straubinger Str. 5, (Hohweg)","Bremen","","0421 43 38 00",""
"Kohne Personalservice GmbH","Lohstr. 23, (Innenstadt)","Osnabrück","","0541 7 60 14 27-0",""
"Kurbitz Maik Arbeitsvermittlung Hausmeisterservice","Friedensstr. 39","Bitterfeld-Wolfen","","0171 6 54 90 77",""
"Leipziger Tafel e.V.","Jordanstr. 5A, (Lindenau)","Leipzig","","0341 6 89 84 81",""
"Magista Arbeitsvermittlung & Personalberatung GmbH Personal Service","Hubertusstr. 23","Alsdorf","","02404 67 55-0",""
"Manage4U Krink & Partner Hans-Joachim Krink","Oberdorfstr. 36/8, (Mühlhausen)","Mühlacker","","07041 94 20 30",""
"Management Nord Personalservice","Vahrenwalder Str. 205, (Vahrenwald)","Hannover","","0511 47 41 68 53",""
"Marador human resources GmbH Personaldienstleister","Hainstr. 6, (Zentrum)","Leipzig","","0341 98 99 53-60",""
"MaßArbeit kÄöR","Windthorststr. 3","Ostercappeln","","05473 9 57 60",""
"Merbt Personaldienstleistung","Wilhelm-Leuschner-Platz 12, (Zentrum-Süd)","Leipzig","","0341 2 25 94 01",""
"Minero Personal GmbH","Lessingstr. 12, (Innenstadt)","Wolfsburg","","05361 2 72 48 56",""
"MK Personalagentur","Hospitalgasse 36f","Friedberg (Hessen)","","06031 1 68 94 60",""
"Mobil mit Uwe Beul","","","","05204 9 05 91 98",""
"Modis","August-Wilhelm-Kühnholz Str. 5, (Tweelbäke)","Oldenburg (Oldenburg)","","0162 4 28 09 14",""
"Modis","Löhrstr. 2, (Zentrum-Nord)","Leipzig","","0341 30 57 10",""
"MONDI GmbH","Hainstr. 26, (Zentrum)","Leipzig","","0341 30 86 72 00",""
"MPP Magdeburger Personal Profis Personaldienstleister","Lübecker Str. 53, (Neue Neustadt)","Magdeburg","","0391 99 00 43 32",""
"MPS Handels- und Service GmbH Personaldienstleistungen","Schumannstr. 15","Nienburg (Weser)","","05021 9 04 30-50",""
"MünsterlandManager.de GmbH & Co. KG NL Bocholt","Konrad-Zuse-Str. 4","Bocholt","","02871 3 53 90 00",""
"MY STAR","Oberste Gärten 25, (Kirdorf)","Bad Homburg v. d. Höhe","","06172 3 80 73 34",""
"n@work Service GmbH","Heinrich-Nordhoff-Str. 73-77, (Innenstadt)","Wolfsburg","","05361 8 92 77-20","http://www.network-wob.de"
"nEw siMple woRk GmbH Personaldienstleister","Am Grevenholt 5, (Tungeln)","Wardenburg","","04407 9 13 53 23",""
"OREA Agency e.K.","Am Rheinufer 23, (Sürth)","Köln","","02236 8 72 57 95",""
"PAN Private Arbeitsvermittlung Niedersachsen GmbH","","Hannover","","0511 9 69 88-5 56",""
"PAS Private Arbeitsvermittlung Service Dipl.-Ing.(FH)","Lerchenweg 25","Torgau","","03421 7 78 41 21",""
"PAS Private Arbeitsvermittlung Service Wolfgang Micha Dipl.-Ing.(FH)","Lerchenweg 25","Torgau","","03421 7 78 41 21",""
"PCE Personal Concept Ehrenbrecht GmbH","Breite Str. 1","Arneburg","","039321 5 39 60",""
"pd Personaldienst GmbH & Co. KG","Kleiner Domhof 2-4, (Innenstadt)","Minden","","0173 2 52 85 80",""
"personal 360 GmbH","Gartenstr. 21","Rastdorf","","05956 9 26 99-0",""
"Personal Dienstleister Münsterland GmbH Personaldienstleister","Alte Hofstelle 13","Wallenhorst","","05407 3 49 05-0",""
"Personal Innovation GmbH","Löhrstr. 2, (Zentrum-Nord)","Leipzig","","0341 23 10 64-0",""
"Personal Konzept GmbH","Thomas-Müntzer-Str. 4 C","Bautzen","","03591 27 64 60","http://www.Personal-Konzept.de"
"Personal O. K. GmbH","Poststr. 27, (Innenstadt)","Rheine","","05971 9 84 66 72",""
"Personalberatung Lindemeier","Steinkampstr. 29","Bünde","","05223 8 19 73 38","http://www.lindemeier-consulting.com"
"Personalberatung Vassel","Sonnenklee 28","Osterwieck","","039421 8 89 03",""
"Personalberatung, Kienbaum Freiburg Personalberater","","Freiburg im Breisgau","","0761 4 51 01 49",""
"Personalconsulting","Robert-Koch-Str. 18","Weil am Rhein","","07621 1 68 44 90",""
"Personalmanagement Marko Dehnecke","Badepark 3","Schönebeck (Elbe)","","03928 7 29 55-0",""
"Personalring","Markt 4","Hettstedt","","03476 5 59 95 25",""
"Personalservice Koch","Flughafenstr. 2, (Vilich-Müldorf)","Bonn","","0228 9 08 75 31",""
"Personaltrainer Karlsruhe - Andreas Trienbacher","Gymnasiumstr. 6","Karlsruhe","","0721 4 90 38 13","https://www.personaltrainer-karlsruhe.de"
"Peters Job Agentur","Goethestr. 44, (Stadtfeld Ost)","Magdeburg","","0391 55 75 67 43",""
"PG Digital GmbH","Cheruskerstr. 100a, (Brackwede)","Bielefeld","","0173 3 62 29 08",""
"plan b. personal gmbh","Bahnhofstr. 35, (Mitte)","Bremen","","0421 1 72 21 24",""
"Platz Uwe PersonalLeasing Zeitarbeit","Großenhainer Str. 21, (Leipziger Vorstadt)","Dresden","","0351 4 26 28 09",""
"Platz Uwe PersonalLeasing Zeitarbeit","Großenhainer Str. 21, (Leipziger Vorstadt)","Dresden","","",""
"Platz Uwe PersonalLeasing Zeitarbeit","Großenhainer Str. 21, (Leipziger Vorstadt)","Dresden","","0351 4 26 28 08",""
"PMA GmbH","Siemensstr. 7-9","Papenburg","","04961 9 80 46 86",""
"PMH Personalmanagement Harz","Papenstr. 1","Einbeck","","05561 9 25 31-0",""
"pPAV- Warendorf","Lange Kesselstr. 14","Warendorf","","01578 6 82 88 42",""
"PRIMAJOB GmbH Personaldienstleistungen","Hansastr. 16, (Leipziger Vorstadt)","Dresden","","0351 40 76 24-30",""
"Primus Inter Pares Personaldienstleistung GmbH","Vordersteig 43","Ettlingen","","07243 9 38 48-0",""
"Private Arbeitsvermittlung B. Trinks Agentur für Arbeitsvermittlung","Amalie-Dietrich-Platz 9, (Gorbitz-Süd)","Dresden","","0351 2 09 35 22",""
"Private Arbeitsvermittlung Lampe","Rosa-Luxemburg-Str. 24","Naumburg (Saale)","","03445 71 14 25",""
"Pro Industrie GmbH & Co KG","Gutenbergstr. 9, (Mitte)","Laatzen","","0511 86 08 33 80",""
"PRO-LOG IV GmbH","Neumarkt 11, (Innenstadt)","Osnabrück","","0541 1 81 76 84-0",""
"Professional Personal Service GmbH","Hegelstr. 26, (Altstadt)","Magdeburg","","0391 6 62 47-30",""
"Promedis 24 GmbH","Landsberger Str. 302, (Laim)","München","","089 90 40 51 50","http://www.promedis24.de"
"Prompt Personaldienstleistungen","Bahnhofstr. 117, (Bant)","Wilhelmshaven","","04421 5 00 56-0",""
"ProTIP Personal Service AG","Overather Str. 15, (Bensberg)","Bergisch Gladbach","","02204 4 25 06-0",""
"ProTIP Personal Service AG","Overather Str. 15, (Bensberg)","Bergisch Gladbach","","02204 9 68 50 20",""
"PSP-Consilium GmbH","Dinkellandstr. 13","Stadtlohn","","02563 21 91 71-0","https://psp-consilium.com"
"Randstad CBS","Bahnhofstr. 40","Gronau (Westf.)","","02562 91 21 27","http://www.randstad.de"
"RENTA Personal Leasing GmbH Zeitarbeit","Schwepnitzer Str. 4-6, (Äußere Neustadt)","Dresden","","",""
"RENTA Personal Leasing Zeitarbeit","Schwepnitzer Str. 4-6, (Äußere Neustadt)","Dresden","","0351 8 29 58-0",""
"RENTAL Personalleasing GmbH","An den Gärten 14, (Zeißig)","Hoyerswerda","","0171 8 51 20 47","http://www.rental-personal.de/"
"RIW Personalservice GmbH","Daimlerstr. 24, (Heßlingen)","Wolfsburg","","05361 2 72 65 00",""
"RoCo Service Arbeitsvermittlung","Kutscherweg 9","Gedern","","06045 9 54 28 46",""
"Rosenburg Private Arbeitsvermittlung","Magdeburger Str. 37","Niederndodeleben","","039204 5 56 03",""
"Rosenkranz Achim Personalberater","Erikaweg 7, (Mauritz)","Münster","","01525 3 55 81 80",""
"Rückkehr- und Perspektivenberatung","Zschortauer Str. 44, (Eutritzsch)","Leipzig","","0341 30 35-2 23",""
"Sahlenburg Feuerwehrhaus","Spanger Str. 14, (Sahlenburg)","Cuxhaven","","04721 2 90 11",""
"SAX Personal GmbH","Mengsstr. 4","Dresden","","0351 40 47 11-0","http://www.sax-personal.de"
"Saxonia Arbeitsvermittlung","Leipziger Str. 19","Torgau","","03421 77 66 68",""
"Schickor Uwe Personaldienstleistungen","Dr.-Friedrich-Wolf-Str. 2, (Äußere Neustadt)","Dresden","","0351 6 56 70 34",""
"Schönauer Personalservice e.K.","Im Buschkamp 5","Wissen","","02742 6 94 42 15",""
"Schülerjobbörse","Marienstr. 21","Alsdorf","","02404 91 21 20",""
"Skott Personalberatung GmbH","Tuckermannstr. 5","Braunschweig","","0531 2 50 32 99",""
"Solutions GmbH SMS Personal","Porsestr. 3, (Roßlau)","Dessau-Roßlau","","034901 26 59 37",""
"SSQ - Shilton Sharpe Quarry","Bockenheimer Anlage 46, (Innenstadt)","Frankfurt am Main","","0172 6 16 49 45","https://ssq.com/gb-en/offices/frankfurt"
"Stadtwerke Rinteln GmbH","Am Weseranger 4","Rinteln","","05751 7 40 45",""
"Staffable Germany GmbH","Hergelsbendenstr. 49","Aachen","","0241 56 81 99 25",""
"Star Personal GmbH","Delitzscher Str. 118, (Büschdorf)","Halle (Saale)","","0345 44 47 97-0",""
"Stegmann Personaldienstleistung GmbH & Co","Wilhelmstr. 7, (Südoststadt)","Offenburg","","0781 28 99 34 71","http://www.stegmann-personal.de"
"Stegmann Personaldienstleistung GmbH&Co.KG","Walmbergsweg 9, (Sudenburg)","Magdeburg","","0391 6 07 73 95",""
"Stegmed GmbH","Baumschulenweg 18, (Bürgerfelde)","Oldenburg (Oldenburg)","","0441 40 58 77-30",""
"Stegmed GmbH","Damm 14, (Innenstadt)","Braunschweig","","0531 2 61 59 46",""
"Stegplus Personal GmbH","Kaiserstr. 104, (Innenstadt-West)","Karlsruhe","","0800 8 09 90 00",""
"Stegplus Personal GmbH","Langenstr. 30, (Altstadt)","Bremen","","0800 8 09 90 00",""
"Stroemer People","Kanalstraße Süd 1, (Ostgroßefehn)","Großefehn","","04943 20 15 90",""
"Sünnemann Personalentwicklung","Sulitheweg 4","Paderborn","","0177 6 31 52 22","http://www.es-personalentwicklung.de"
"Synergie Personal Deutschland GmbH Agentur für Personaldienstleistungen","Basler Str. 155","Lörrach","","07621 4 20 91-0",""
"Synergie Personal Deutschland GmbH Agentur für Personaldienstleistungen","Hildastr. 2","Bruchsal","","07251 9 82 29-0",""
"Synergie Personal Deutschland GmbH Personaldienstleistung","Kaiserstr. 158, (Innenstadt-West)","Karlsruhe","","0721 9 13 83-0",""
"SYNERGIE Personal Deutschland GmbH Personaldienstleistung","Werderstr. 47","Müllheim im Markgräflerland","","07631 9 38 35-0",""
"Synergie Personal Deutschland GmbH Personaldienstleistungen","Hauptstr. 72","Achern","","07841 6 01 58-0",""
"SYNERGIE Personal Deutschland GmbH Personaldienstleistungen","R 3 4-5, (Quadrate)","Mannheim","","0621 1 78 22 37-0",""
"Synergie Personal Deutschland GmbH Personaldienstleistungen","Straße des 17. Juni 4A.","Taucha","","034298 54 91-0",""
"Talentspirit GmbH Christian Tilg","Donnersbergweg 1, (Mundenheim)","Ludwigshafen am Rhein","","0621 9 10 82 24",""
"TAST GmbH & Co. KG","Cecil-Taylor-Ring 13, (Vogelstang)","Mannheim","","0621 79 93 16-0",""
"TecFox GmbH","Hohetorwall 14","Braunschweig","","0531 88 61 77 85",""
"Tegeler Karriere","Max-Planck-Str. 4, (Luthe)","Wunstorf","","05031 9 11 30 11","http://www.lubitz-tegeler.de"
"TEMPTON Personaldienstleistungen GmbH Personaldienstleistungen","Alexianergraben 9","Aachen","","0241 46 35 97 50","http://www.Tempton.de"
"TF Bahn 24 GmbH Service","Lützner Str. 195, (Grünau-Mitte)","Leipzig","","0341 91 03 74 74",""
"TimePartner Holding GmbH","Artur-Ladebeck-Str. 115, (Brackwede)","Bielefeld","","0521 5 20 19 90","http://www.timepartner.com"
"TimePartner Holding GmbH","Bahnhofsplatz 3","Oldenburg (Oldenburg)","","0441 2 05 56 80","http://www.timepartner.com"
"TimePartner Holding GmbH","Hammer Str. 89, (Mitte-Süd)","Münster","","0251 1 33 99 80","http://www.timepartner.com"
